Question,Answer
"My grandmother was an old woman. She had been old and wrinkled for the twenty years that I had known her. People said that she had once been young and pretty and had even had a husband, but that was hard to believe.  2. When we both had finished we would walk back together.  3. When I came back she would ask me what the teacher had taught me.  4. It was the first time since I had known her that she did not pray.  5. The sun was setting and had lit her room and verandah with a golden light.  These are examples of the past perfect forms of verbs. When we recount things in the distant past we use this form. ","Notice the form of verbs highlighted in the sentences below: 1. They had already reached their destination when the rain came. 2. Before she left me, we had worked together for six months on that project. 3. The teacher had explained the poem twice, to help students understand it well. 4. Since I had lived there it was the first time it began to rain. 5. The full moon in the sky had scattered its light everywhere. "
Talk with your family members about elderly people who you have been intimately connected with and who are not there with you now. Write a short description of someone you liked a lot.  ,"My grandfather Talk with your family members about elderly people who you have been intimately connected with and who are not there with you now. Write a short description of someone you liked a lot.  I was eleven years old when I lost my grandfather, but I still remember him. I liked him a lot and he loved me affectionately. Though he was old, he was able to move with ease. During his visits to the market, temple, garden or friends and relatives house, I was his constant companion. I was made fun of by my family members as grandpa’s watch dog. I ran to his arms when my mother or father were angry or cross with me. I miss the stories which he used to tell me during bedtime that included deeds of adventure or bravery. He was also careful about my studies and health. In order to maintain a good physique, he would make me eat fruits and drink milk. He helped me write the alphabet and was good at drawing. He gave quick solutions to all my problems. When I succeeded in sports, studies, recitation, song, fancy dress competition or poster making, he would bless me. I miss him a lot. "
Infer the meanings of the following words from the context Now look up the dictionary to see if your inference is right. ,Paddling is rowing a boat or walking in shallow water. Transient refers to temporary. Dictionary Meaning: Paddling is standing or walking in shallow water with bare feet. Paddling also means rowing a boat. Paddling is swimming with short movements of feet or hands up and down. Transient is staying in a place for a short period of time. 
 What does the word ‘cardboard’ denote in the poem? Why has this word been used?,"In the poem, the word ‘cardboard’ indicates the photograph which is glued on a paper that is hard and thick. It has been used to describe the old practices when the photographs were glued on cardboard and framed with glass in front in order to preserve them."
What has the camera captured?  ,"The camera has captured three girls – the mother of the poet and her two cousins, Dolly and Betty, in their swimming dress on either side of the poet’s mother holding her hands and walking with feet in sea water. "
What has not changed over the years? Does this suggest something to you?,"Over the years, the sea has not changed. Its waves are tireless, shining and fresh as they were in the old days. The changes that occur in a human face with growing age is reminded by the changelessness of the sea. "
The poet’s mother laughed at the snapshot. What did this laugh indicate?  ,"This laugh indicates her joy at remembering the incident that connected with her past life, when she was young and free from worries and tensions of life. "
What is the meaning of the line “Both wry with the laboured ease of loss.”  ,"The poet’s mother’s laughter and the sea holiday are the incidents from the past. A sense of loss is connected with them. Both are amusing and disappointing as a relaxed or comfortable feeling is a forced one or unnatural. This sense of loss is painful to bear. Also, the phrase ‘laboured ease’ is an oxymoron because it joins together two opposite ideas to make a meaningful idea, here, the sense of loss."
What does “this circumstance” refer to?  ,“This circumstance” refers to the death of the poet’s mother. 
“This circumstance” refers to the death of the poet’s mother. ,1. Girlhood of the poet’s mother – The phase before the poet’s birth. 2. Middle age – The phase during the poet’s childhood. 3. Death – The phase after the death of the poet’s mother. 
Understanding the Text 1. List the steps taken by the captain (i) to protect the ship when rough weather began. (ii) to check the flooding of the water in the ship.,"(i) To protect the ship when rough weather began, the captain planned to slow the ship down. The storm jib was dropped and the mooring rope which was heavy was lashed in a loop over the stem. Everything was double-fastened and they went through the life-raft drill. (ii) Herb and Larry started to pump the water out. The canvas was stretched by the captain and the waterproof hatch covers were secured across the gaping holes. When the electric pump short circuited and two hand pumps were blocked, he noticed another electric pump and started it by connecting it to an earth pipe."
Describe the mental condition of the voyagers on 4th and 5th January.,"On 4th January, after pumping out water continuously for 36 hours, the voyagers felt relieved. They consumed their first meal in two days. But their break was short-lived. On 5th January, they faced a dangerous situation. The fear of death appeared huge and they underwent great mental stress."
Describe the shifts in the narration of the events as indicated in the three sections of the text. Give a subtitle to each section.,"The first section explains a peaceful journey from Plymouth in England to 3500 km east of Cape Town in Africa. The narrator is fully confident and relaxed. Then they faced huge waves as the weather deteriorated. To save themselves, they took precautionary measures and struggled with the disaster. The narration becomes grim, but exudes confidence and illustrates their fighting spirit and strong will power. The Wavewalker rode out of the storm by 6th January morning, and by evening, they sighted the Ile Amsterdam Island. Now the narrator is relaxed. Relief, joy and confidence are apparent."
Discuss the following questions with your partner. 1. What difference did you notice between the reaction of the adults and the children when faced with danger?,"There are lots of differences in the way the children and adults reacted when faced with danger. The adults initially felt the stress of the situation. But they soon garnered strength and prepared themselves to face it. When the rough weather began, enough precautions were taken to protect the ship. Everyone was equipped with water-proof clothes, lifelines and life jackets. Herb and Larry worked optimistically and cheerfully for three continuous days to pump the water out from the ship. The narrator at the wheel was replaced by Mary who steered the ship when the deck was smashed. She served them meals after a struggle of two days against all odds. As a captain, the narrator performed his role with determination, courage, responsibility and resourcefulness. He undertook the repair work by providing apparatus and giving the directions which were required to protect the ship. He helped in steering the ship towards the island. The children suffered patiently and silently. Sue, with her troubles, did not bother her father. Jon behaved courageously and was not scared to die if everyone perished together."
How does the story suggest that optimism helps to endure “the direst stress”?,"The story suggests that optimism helps to endure “the direst stress”. The behaviour of four adults throughout the crisis bears it out. Herb Seigler and Larry Vigil were the two crewmen. As the deck was smashed by the huge waves, water entered the ship from the openings and holes. From the evening of 2nd January, Herb and Larry started to pump out water. They worked feverishly, excitedly and continuously for about 36 hours. As a result of pumping continuously, they reached the last few centimeters of water on 4th January. They stayed optimistic and cheerful while facing dangerous situations. The narrator did not lose his presence of mind, hope or courage while facing problems. He was not worried about the equipment loss and used whatever was present there. His practical knowledge and self-confidence helped them steer out of the storm and reach the Ile Amsterdam Island. In those difficult hours, Mary remained at the wheel. She did not lose courage or hope either."
What lessons do we learn from such hazardous experiences when we are face-to-face with death?,"Hazardous experiences bring us face-to-face with death and impart a few crucial lessons. Our life is not always a bed of roses. We must respond to risks and danger with fortitude and patience. The real test of character is adversity. The purity of gold is decided by putting it on fire. So, hazardous experiences of life bring the best out of us. Before death, cowards die many times. Negative feelings like fear lead to inactivity and abject surrender to situations. Such soldiers or sailors lose the war against difficulties in life. On the other hand, people with courage, self-confidence, presence of mind and resourcefulness face the dangers bravely and successfully come out of all disasters. Their caring and sharing attitude inspires others to face difficult situations boldly and steer through them with fortitude."
Why do you think people undertake such adventurous expeditions in spite of the risks involved?,"Human beings are adventurous by nature. The higher the risk, the more the thrill. The thrill of exploring lands and discovering the beauty and wealth which lies hidden in far-off lands inspires brave people to even put their lives at stake. Maybe, they value one hour of glory more than an uneventful long life of inactivity and sloth. At times, adventures are risky and prove deadly. The failure of a few people does not discourage true lovers of adventure. They learn lessons from errors and shortcomings of others and make new attempts with greater zeal. The key to an adventurous expedition lies in adapting to the situations and overcoming the problems. The victory of an adventurous expedition brings wealth, fame and glory. History books are full with accounts of well-known explorers such as Vasco da Gama, Columbus, Captain Scott and Captain Cook."
"We have come across words like ‘gale’ and ‘storm’ in the account. Here are two more words for ‘storm’: typhoon, cyclone. How many words does your language have for ‘storm’?","The Hindi language has the following words for ‘storm’: toofan, aandhi, chakravat, and jhanjavat"
"Here are the terms for different kinds of vessels: yacht, boat, canoe, ship, steamer, schooner. Think of similar terms in your language.","Similar terms in Hindi for vessels which are used to travel on water are nava, nauka, jahaj, and pot"
‘Catamaran’ is a kind of a boat. Do you know which Indian language this word is derived from? Check the dictionary.,‘Catamaran’ is a word derived from Tamil which means ‘tied wood’. It is a boat or yacht containing twin hulls in parallel. It is defined as ‘a fast sailing boat with two hulls’ in the dictionary
Have you heard any boatmen’s songs? What kind of emotions do these songs usually express?,"The boatmen’s songs invite other sailors to awaken, arise and come to the sea to explore its wealth. These are inspirational songs that provide moral support to the hard-working boatmen."
The following words used in the text as ship terminology are also commonly used in another sense. In what contexts would you use the other meaning? knot stern boom hatch anchor,"1. Knot (a) In a rope/string – a joint which is made by tying two ends or pieces of string or rope together. For example – to tie a knot. (b) Of hair – Twisting the hair into a round shape at the back of the head. For example – Ria tied her hair in a loose knot. (c) In wood – a round hard spot in wood where once a branch was present. (d) Referring to a group of people – a small group of people standing together. For example – Little knots of children gathered at the school gate. (e) In muscles – a hard, tight feeling in the stomach or throat which are caused by anger, nerves, etc. For example – I felt the knot of fear in his throat. 2. Stern (a) Often disapproving and serious, expecting others to obey you. For example – His voice was stern. (b) Difficult and serious. For example – We faced stern opposition. 3. Boom (a) In economy/ business – an increase in economic activity or trade, a period of success and wealth. For example – A boom in the sales of plots.
(b) Popular period – a time period during which a sport or music suddenly became popular and successful.
For example – The way to satisfy the boom of cricket is to provide more playgrounds.
(c) A deep loud sound. For example – the distant boom of the horn.
(d) In harbour/ river – A floating barrier which is placed at the harbour entrance to prevent ships from going
out or coming in.
(e) In microphone – A long pole which carries a microphone.
4. Hatch
(a) An opening in the wall between the dining room and a kitchen through which food is passed. For
example – a serving hatch.
(b) A door in a spacecraft or an aircraft.
(c) An escape hatch – a door in a ceiling or floor or an opening. For example – a hatch to the attic.
(d) Young fish, bird or insect coming out of the egg.
(e) To create an idea or a plan in secret.
5. Anchor
(a) to fix something in a position firmly so that it cannot move. For example – Ensure that the apparatus is
anchored securely.
(b) to base something on something else firmly. For example – Prem’s novels are anchored in the life of
humans.
(c) A person who reports, reads the news on television or radio. For example – The evening news was
anchored by Rihana for five years.
(d) A thing or a person who gives a feeling of safety. For example – Julia was the anchor of my life in
difficult times."
The following three compound words end in -ship. What does each of them mean? airship flagship lightship,"1. Airship – A large aircraft that has no wings, which is filled with gas that is driven by engines and lighter than air. 2. Flagship – (i) In the navy, the main ship among the fleet of ships. (ii) The important service, product or building owned or produced by an organization. For example, the company is opening a new flagship store in Germany. 3. Lightship – A small ship which stays in a particular place at sea and has a powerful light to guide or warn other ships."
"The following are the meanings listed in the dictionary against the phrase ‘take on’. In which meaning is it used in the third paragraph of the account: take on sth: to begin to have a particular quality or appearance; to assume sth take sb on: to employ sb; to engage sb; to accept sb as one’s opponent in a game, contest or conflict
take sb/sth on: to decide to do sth; to allow sth/sb to enter e.g. a bus, plane or ship; to take sth/sb on
board","In the third para of the chapter, ‘take on’ is made use of in the meaning of ‘take sb on’ that is to engage sb; to employ sb Quote from the text: “…we took on two crewmen — American Larry Vigil and Swiss Herb Seigler — to help us…”"
Give reasons for the following. (i) King Tut’s body has been subjected to repeated scrutiny,"Tut’s body had been examined numerous times because it was the world’s most famous mummy. Aside from the gold-plated face of the coffin, visitors to the tomb believed that there was a mystery surrounding the young ruler’s untimely death. They also wondered if the pharaoh’s curse, which befell those who disturbed his resting place, was true or not."
(ii) Howard Carter’s investigation was resented.,"Howard Carter’s investigation, which took place in the 1920s, was criticised because King Tut’s body was badly damaged in an attempt to separate it from the golden coffin. He had used unethical methods to extract the gold and had made no effort to investigate the cause of death."
(iii) Carter had to chisel away the solidified resins to raise the king’s remains.,"Howard had to chisel away the solidified resin to raise Tut’s remains, which had become cemented to the bottom of the coffin and showed no signs of breaking apart. No amount of force could separate the body from the coffin; not even exposing it to the scorching sun could melt the solid resin."
(iv) Tut’s body was buried along with gilded treasures.,"Tut’s body was buried alongside gold and other treasures because, at the time, the royals and rich individuals wished and believed that they might take their wealth with them when they died and use it in the afterlife."
(v) The boy king changed his name from Tutankhaten to Tutankhamun,"Tutankhamun, the boy-king, changed his name from Tutankhaten to Tutankhamun in order to restore everything that his father had destroyed."
2. (i) List the deeds that led Ray Johnson to describe Akhenaten as “wacky”,"Ray Johnsen described Akhenaten as “wacky” because he promoted the worship of Aten (the sun disc) over Amun the major God, changed his name from Amenhotep to Akhenaten, relocated the religious capital from Thebes to Akhetaten, and destroyed Amun temples and idols, thus shocking the entire country."
(ii) What were the results of the CT scan?,"The CT scan revealed King Tut’s neck vertebrae, a hand, several views of the rib cage, and a skull transection. Everything indicated that nothing serious had gone wrong."
(iii) List the advances in technology that have improved forensic analysis.,"The introduction of medical technology that focuses on the aspects of life, rather than the treasure buried with the remains, has shaped the future of archaeology in forensic analysis. The x-ray was invented, followed by the CT scanner, which made diagnostic imaging possible. It creates a three-dimensional virtual body from ancient remains, revealing body parts that have been preserved for thousands of years."
"(iv) Explain the statement, “King Tut is one of the first mummies to be scanned — in death, as in life…”","According to this statement, King Tut was the first pharaoh whose mummified body was scanned 3,300 years after his death. When he was alive, he was a well-known figure. Even though he was only a boy, he was intelligent and practical, making bold decisions and restoring lost customs and traditions that his father had destroyed. He ruled for nine years, but he died unexpectedly, leaving the cause unknown."
"1. Read the following piece of information from The Encyclopedia of Language by David Crystal. Egyptian is now extinct: its history dates from before the third millennium B.C., preserved in many hieroglyphic inscriptions and papyrus manuscripts. Around the second century A.D., it developed into a language known as Coptic. Coptic may still have been used as late as the early nineteenth century and is still used as a religious language by Monophysite Christians in Egypt. 2. What do you think are the reasons for the extinction of languages?","Languages are becoming extinct for a variety of reasons. A dominant language that is not native to the locals frequently replaces the main language. Other reasons include the genocide of entire races, poor cultural heritage preservation, and the loss and damage of historical records."
3. Do you think it is important to preserve languages?,"Yes, language preservation is critical. Languages are an important tool for understanding and preserving a culture’s traditions. It also allows one to reconnect with their ancestors. Literature is a tool for preserving and learning a language."
4. In what ways do you think we could help prevent the extinction of languages and dialects?,"We can preserve languages and dialects by promoting and using languages that are slowly falling into neglect and disuse. To do so, we must stay connected to our roots by encouraging children to speak in their mother tongue more often, reading old books in their native language, and conversing with the elderly."
Given below are some interesting combinations of words. Explain why they have been used together. (i) ghostly dust devils (vi) dark-bellied clouds (ii) desert sky (vii) casket grey (iii) stunning artefacts (viii) eternal brilliance (iv) funerary treasures (ix) ritual resins (v) scientific detachment (x) virtual body,"(i) This term refers to the violent movement of dusty winds in a desert. The winds are called devils because they punish and annoy the workers for disturbing King Tut’s tomb. (ii) Suggests the dryness and aridity of a desert. (iii) The tomb contained artefacts and treasures of high market value, beauty, and brilliance. (iv) The treasures buried with King Tut’s mummy were all made of gold and were extremely valuable. (v) Refers to a scientist’s disinterested pursuit of truth. (vi) Clouds that are dark in colour and indicate the possibility of storms and heavy rain. (vii) The stars are shrouded in dark grey clouds, as if they were jewels kept in a casket. (viii) Refers to something that will last indefinitely and is unaffected by time. It is used here to describe the gleam and lustre of Tut’s golden treasure and artefacts. (ix) Customarily, the resins are used to prepare a body for mummification and in burial rituals. (x) A machine-created image or artificial body that represents the real body. It can be used to gather information and facts about a real body."
Here are some commonly used medical terms. Find out their meanings. CT scan MRI tomography autopsy dialysis ECG post mortem angiography biopsy,"CT scan – Short for Computerised Tomography, it is a specialised x-ray test that uses a series of X-ray images and a computer to create cross-sectional images of the body. MRI – Magnetic Resonance Imaging (MRI) is a diagnostic technique that employs magnetic fields and radio waves to generate a detailed image of the body’s soft tissue and bones. Tomography – It refers to sectional imaging or sectioning using any type of penetrating wave. It is used in radiology, archaeology, and other scientific fields. Autopsy – It is a surgical procedure that entails dissecting a corpse to determine the cause and manner of death or to evaluate an injury for research purposes. Dialysis – It is the process of removing excess water and toxins from the blood in people whose kidneys have lost the ability to do so naturally. ECG – The electrocardiogram, also known as an ECG, is a diagnostic tool used to evaluate the electrical and muscular functions of the heart. Post Mortem – A corpse is examined or analysed soon after death to determine the cause of death. Angiography – It is a type of imaging tool used to see inside blood vessels and organs of the body, specifically arteries, veins, and heart chambers. Biopsy – It is a medical procedure in which surgeons, radiologists, or cardiologists extract cells or tissues for examination in order to determine the presence and extent of a disease."
Which local bird is like the goldfinch.,The Lutino Indian Ringneck is the local bird which is like the goldfinch.
What do you notice about the beginning and the ending of the poem?,"The poem begins on a depressing note. The laburnum is said to stand silently and still. There is no sign of life. The tree’s leaves have begun to yellow, and the seeds have already fallen. It denotes the autumn season"
To what is the bird’s movement compared? What is the basis for the comparison?,"The movement of the bird is compared to that of a lizard. They are both sleek, alert, and abrupt. As a result, the comparison is both accurate and convincing."
Why is the image of the engine evoked by the poet?,The image of the engine is evoked because the mother bird is the family’s “engine.” She works to provide food for her children in the same way that an engine powers a machine.
What does the phrase “her barred face identity mask” mean?,This means that it is the mark of recognition that the mother bird uses to reveal her identity as the mother of her babies.
the sound words,"Chirrup, chitterlings, trillings, whistle-chirrup whisperings"
the movement words,"twitching, tremor, trembles, stokes, flirts, launches, subsides"
the dominant colour in the poem.,Yellow
"Words which describe ‘sleek’, ‘alert’ and ‘abrupt’.","Suddenness, startlement"
Words with the sound ‘ch’ as in ‘chart’ and ‘tr’ as in ‘trembles’ in the poem.,"‘ch’ sound-Chirrup, chitterlings ‘tr’ sound- trillings, tremor, tree"
Other sounds that occur frequently in the poem.,"‘st’, ‘ill’ and ‘ing’"
(i) Contrast the Chinese view of art with the European view with examples.,"Chinese painting art is imaginative and spiritual in nature, whereas European paintings are based on actual views or real objects. The paintings of Wu Daozi and master painters from Europe demonstrate the disparity between the perspectives of two distinct arts."
Explain the concept of shanshui.,"It literally means “mountain water,” and it refers to a type of Chinese painting that incorporates natural landscapes, spiritual spaces, and conceptual spaces. It reflects two opposing poles that represent the Daoist view of the universe."
(i) What do you understand by the terms ‘outsider art’ and ‘art brut’ or ‘raw art’?,Outsider art is art created by an artist who has no formal training but still has talent and an artistic point of view in life. The term ‘art brut’ or ‘raw art’ refers to art in its most basic form or state.
Who was the “untutored genius who created a paradise” and what is the nature of his contribution to art?,"Nek Chand was the ‘untutored genius’ who created ‘paradise.’ He was the 80-year-old designer of Chandigarh’s world-famous Rock Garden. It is an example of outsider art in which raw materials and stones are combined to create an artistic work. Anything and everything can be used to create an artwork, and all that is required is a critical eye. One of his most well-known works is ‘Women by the Waterfall.’"
Find out the correlates of Yin and Yang in other cultures.,"Yang and yin are two complementary poles that can be correlated in various cultures and styles. Nature and God are central to Indian culture. Nature is yin, and God is yang. To create the world and all of its worldly things and creatures, a combination of the two is required."
What is the language spoken in Flanders?,The French language is spoken in Flanders.
"The following common words are used in more than one sense. panel studio brush essence material
Examine the following sets of sentences to find out what the words, ‘panel’ and ‘essence’ mean in
different contexts.
1. (i) The masks from Bawa village in Mali look like long panels of decorated wood.
(ii) Judge H. Hobart Grooms told the jury panel he had heard the reports.
(iii) The panel is laying the groundwork for an international treaty.
(iv) The glass panels of the window were broken.
(v) Through the many round tables, workshops and panel discussions, a consensus was reached.
(vi) The sink in the hinged panel above the bunk drains into the head.",(i) boards of decorated wood. (ii) group of men selected to give a unanimous verdict on a legal matter. (iii) group of experts. (iv) window panes. (v) group discussions. (vi) a flat board fixed with a hinge
(i) Their repetitive structure must have taught the people around the great composer the essence of music. (ii) Part of the answer is in the proposition; but the essence is in the meaning. (iii) The implications of these schools of thought are of practical essence for the teacher. (iv) They had added vanilla essence to the pudding,(i) the most important quality of something that makes it what it is. (ii) the main part. (iii) practical importance. (iv) liquid taken from vanilla that contains its smell and taste in a very strong form.
1. There are two voices in the poem. Who do they belong to? Which lines indicate this?,"The poem contains two voices. The first is of the rain, and the second is of the poet himself. “And who art thou? Said I to the soft-falling shower,” is the voice of the poet and “I am the Poem of Earth, said the voice of the rain” is the voice of rain."
What does the phrase “strange to tell” mean?,"The phrase refers to a peculiar phenomenon, as the raindrop responds to the poet’s questions"
There is a parallel drawn between rain and music. Which words indicate this? Explain the similarity between the two.,"The voice of the rain says, “I am the Poem of Earth,” implying a link between rain and poetry. The poet draws parallels between the two by observing the rain’s life cycle. They both originate from a source, rise, and return to their origin after completing their task."
How is the cyclic movement of rain brought out in the poem? Compare it with what you have learnt in science.,"As the poem’s lines go, the water rises from the “land and the bottomless sea” to reach the sky. Water rises untouched from the sea in the form of water vapour, forms a cloud, and then descends back on earth to wash away the dryness, returning to its source. This cyclical movement of rain parallels the phenomenon of precipitation we learned in science."
Why are the last two lines put within brackets?,"The last two lines contain the poet’s comment or general observation, not the voice (something said) of the rain or the poet. As a result, they are enclosed in brackets because they do not constitute a conversation between the rain and the poet."
List the pairs of opposites found in the poem.,"(a) Day, night (b) Reck’d, unreck’d (c) Rise, descend"
And who art thou? said I to the soft-falling shower.,I enquired the soft-falling rain about its identity
"I am the Poem of Earth, said the voice of the rain.",The voice of the rain introduced itself as the Poem of Earth.
Eternal I rise,Upward movement of the rain (towards sky) is eternal.
For song… duly with love returns,"The poet says that, similar to the natural cycle of the rain, a song originates from the heart of the poet, travels to reach others and after fulfilling its purpose (whether acknowledged or not), it returns to the poet with all due love."
Locate the lines in the text that support the title ‘The Ailing Planet’.,"The lines that support the title of the chapter are given below. “The earth’s vital signs reveal a patient in declining health.” “Are we to leave our successors a scorched planet of advancing deserts, impoverished landscapes and ailing environment?” “…the environment has deteriorated so badly that it is “critical? in many of the eighty-eight countries investigated”. “When this happens, fisheries collapse, forests disappear, grasslands are converted into barren wastelands and croplands deteriorate.” “it has been well said that forests precede mankind, deserts follow” “ …. Several species of life face extinction as a result of its destruction.” “The environmental problem does not necessarily signal our demise, it is our passport for the future.”"
"What does the notice ‘The world’s most dangerous animal’ at a cage in the zoo at Lusaka, Zambia, signify?","The inscription ‘The world’s most dangerous animal’ in a cage in the Lusaka Zoo in Zambia indicates that man has always been a completely self-centred being. Even though man is civilized and has advanced far beyond all other animals, his vision of a world based on cooperation has yet to take shape. We humans, like all other beings, want to rule this planet rather than coexist with it. That is why we frequently forget that humans cannot sustain themselves on their own. We must instead learn to live in a way that helps the earth sustain itself and thus helps us sustain ourselves"
How are the earth’s principal biological systems being depleted?,"There are four major biological systems on Earth – fisheries, forests, grasslands, and croplands. These four systems are not only the basic systems required for survival, but they are also the primary sources of raw materials for the majority of our needs. In a nutshell, they are the foundation of the global economy. However, with rising protein demands, the demand for fish is increasing all the time. The fish stock is being depleted in order to meet this demand. Apart from supplying our food, these four systems provide almost all of the raw materials for the industry, with the exception of minerals and petroleum-derived synthetics. Human demands on these systems have reached an unsustainable level in many parts of the world, reducing their productivity. When this occurs, fisheries fail, forests disappear, grasslands become barren wastelands, and consequently, croplands deteriorate. Overfishing is a daily occurrence in a proteinconscious and protein-hungry world. Local forests are being decimated in poor countries in order to obtain firewood for cooking. Firewood has become so expensive in some areas that “what goes under the pot now costs more than what goes inside it.”"
