Question,Answer
List the points of difference between homogeneous and heterogeneous mixtures.,"Homogeneous mixture: Particles are uniformly distributed throughout the mixture, has a uniform composition, no apparent boundaries of division.
Heterogeneous mixture: Particles are completely mixed and can be distinguished with the bare eyes or under a microscope, irregular composition, noticeable boundaries of division. "
Differentiate between homogenous and heterogeneous mixtures with examples.,"Heterogeneous mixture: Particles are completely mixed and can be distinguished with bare eyes or a microscope, irregular composition, noticeable boundaries of division. Examples: Seawater, blood.
 Homogeneous mixture: Particles are uniformly distributed, uniform composition, no apparent boundaries of division. Examples: Rainwater, vinegar."
"How are sol, solution, and suspension different from each other?","Attributes:Sol: Heterogeneous mixture, particle size: 10-7 to 10-5 cm, exhibits Tyndall effect, usually glassy and clear, visible with ultramicroscope, diffuses very slowly, pretty stable, settles in centrifugation. Example: Milk, blood.Solution: Homogeneous mixture, particle size: less than 1nm, does not exhibit Tyndall effect, unclouded and clear, not visible, diffuses rapidly, highly stable, does not settle. Example: Salt solution, sugar solution.Suspension: Heterogeneous mixture, particle size: more than 100nm, may or may not exhibit Tyndall effect, cloudy and opaque, visible with the naked eye, does not diffuse, unstable, settles on its own. Example: Sand in water, dusty air."
"To make a saturated solution, 36 g of sodium chloride is dissolved in 100 g of water at 293 K. Find its concentration at this temperature.","Mass of solute (NaCl) = 36 g
Mass of solvent (H2O) = 100 g
Mass of solution (NaCl + H2O) = 136 g
Concentration = (Mass of solute / Mass of solution) x 100
Concentration = (36 / 136) x 100 = 26.47%
Hence, the concentration of the solution is 26.47%."
"How will you separate a mixture containing kerosene and petrol (the difference in their boiling points is more than 25°C), which are miscible with each other?","Since kerosene and petrol have a boiling point difference of more than 25°C, they can be separated using simple distillation. Petrol has a lower boiling point, so it will evaporate first. Its vapours can be condensed and collected, leaving kerosene behind in the distillation flask. If the boiling points difference is less than 25°C, fractional distillation would be required."
Name the techniques used to separate the following: (a) Butter from curd (b) Salt from seawater (c) Camphor from salt,"(a) Centrifugation is used to separate butter from curd, based on density differences.
(b) Salt can be separated from seawater using evaporation.
(c) Sublimation can be used to separate camphor from salt, as camphor sublimes directly from solid to gas."
What types of mixtures are separated by the technique of crystallisation?,Crystallisation is used to separate solids from a liquid solution in which the solid has dissolved. It can be used to purify substances by obtaining them in crystalline form. Examples include purifying salt from seawater or obtaining crystals of sugar.
"Classify the following as physical or chemical changes: (a) Cutting of trees (b) Melting of butter in a pan (c) Rusting of almirah (d) Boiling of water to form steam (e) Passing of electric current through water, breaking it into hydrogen and oxygen gases (f) Dissolving common salt in water (g) Making a fruit salad (h) Burning of paper and wood","Physical changes: Cutting of trees, melting of butter, boiling of water, dissolving salt in water, making a fruit salad.
Chemical changes: Rusting of almirah, passing electric current through water, burning of paper and wood."
"In a reaction, 5.3g of sodium carbonate reacted with 6g of acetic acid. The products were 2.2g of carbon dioxide, 0.9g of water, and 8.2g of sodium acetate. Show that these observations are in agreement with the law of conservation of mass. Sodium carbonate + acetic acid → Sodium acetate + carbon dioxide + water.","Reactants: Sodium carbonate (5.3g) + Acetic acid (6g) = Products: Sodium acetate (8.2g) + Carbon dioxide (2.2g) + Water (0.9g). As per the law of conservation of mass, the total mass of reactants must be equal to the total mass of products. L.H.S. = R.H.S. 5.3g + 6g = 2.2g + 0.9g + 8.2g = 11.3g. Therefore, the reaction follows the law of conservation of mass."
Hydrogen and oxygen combine in a ratio of 1:8 by mass to form water. What mass of oxygen gas would be required to react completely with 3g of hydrogen gas?,"Hydrogen and oxygen combine in a mass ratio of 1:8. For every 1g of hydrogen, 8g of oxygen is required. For 3g of hydrogen, the amount of oxygen required = 3g × 8 = 24g. Therefore, 24g of oxygen is required to react with 3g of hydrogen."
Which postulate of Dalton’s atomic theory is the result of the law of conservation of mass?,"The postulate that says, ""Atoms cannot be created nor destroyed in a chemical reaction,"" supports the law of conservation of mass. The relative number and types of atoms are constant in a given composition."
Which postulate of Dalton’s atomic theory can explain the law of definite proportions?,The postulate stating that the relative number and kinds of atoms are equal in given compounds explains the law of definite proportions.
Define the atomic mass unit.,An atomic mass unit is a unit of mass used to express the weights of atoms and molecules where one atomic mass is equal to 1/12th the mass of one carbon-12 atom.
Why is it not possible to see an atom with the naked eyes?,"Atoms are extremely small in size, measured in nanometres. Also, except for noble gas atoms, they do not exist independently. Hence, they cannot be seen with the naked eye."
Write down the formulae of (i) sodium oxide (ii) aluminium chloride (iii) sodium sulphide (iv) magnesium hydroxide.,(i) Sodium oxide – Na2O (ii) Aluminium chloride – AlCl3 (iii) Sodium sulphide – Na2S (iv) Magnesium hydroxide – Mg(OH)2
Write down the names of compounds represented by the following formulae: (i) Al2(SO4)3 (ii) CaCl2 (iii) K2SO4 (iv) KNO3 (v) CaCO3.,(i) Aluminium sulphate – Al2(SO4)3 (ii) Calcium chloride – CaCl2 (iii) Potassium sulphate – K2SO4 (iv) Potassium nitrate – KNO3 (v) Calcium carbonate – CaCO3
What is meant by the term chemical formula?,"Chemical formulas describe the types and numbers of atoms in a compound. Each element’s atoms are symbolised by one or two letters. For example, the chemical formula of hydrochloric acid is HCl."
How many atoms are present in a (i) H2S molecule and (ii) PO43- ion?,"(i) H2S molecule has 2 hydrogen atoms and 1 sulphur atom, hence 3 atoms in total. (ii) PO43- ion has 1 phosphorus atom and 4 oxygen atoms, hence 5 atoms in total."
"In a reaction, 5.3g of sodium carbonate reacted with 6g of acetic acid. The products were 2.2g of carbon dioxide, 0.9g of water and 8.2g of sodium acetate. Show that these observations are in agreement with the law of conservation of mass. "," As per the law of conservation of mass, the total mass of reactants must be equal to the total mass of products. The total mass on L.H.S. is 5.3g + 6g = 11.3g, and the total mass on R.H.S. is 2.2g + 0.9g + 8.2g = 11.3g. Hence, the observations are in agreement with the law of conservation of mass."
Hydrogen and oxygen combine in a ratio of 1:8 by mass to form water. What mass of oxygen gas would be required to react completely with 3g of hydrogen gas? ," We know hydrogen and oxygen combine in a 1:8 ratio. Therefore, for 3g of hydrogen, the quantity of oxygen required is 3 x 8 = 24g. Hence, 24g of oxygen would be required for the complete reaction with 3g of hydrogen gas."
Which postulate of Dalton’s atomic theory is the result of the law of conservation of mass? ," The postulate of Dalton’s atomic theory that is the result of the law of conservation of mass is that ""Atoms cannot be created nor destroyed in a chemical reaction."""
Which postulate of Dalton’s atomic theory can explain the law of definite proportions? , The postulate of Dalton’s atomic theory that can explain the law of definite proportions is that the relative number and kinds of atoms are equal in given compounds.
Define the atomic mass unit. , An atomic mass unit is a unit of mass used to express the weights of atoms and molecules where one atomic mass is equal to 1/12th the mass of one carbon-12 atom.
Why is it not possible to see an atom with the naked eyes? ," Atoms are minuscule in nature, measured in nanometers. Except for noble gas atoms, they do not exist independently. Hence, an atom cannot be visible to the naked eye."
Write down the formulae of (i) sodium oxide (ii) aluminium chloride (iii) sodium sulphide (iv) magnesium hydroxide. , (i) sodium oxide – Na2O (ii) aluminium chloride – AlCl3 (iii) sodium sulphide – Na2S (iv) magnesium hydroxide – Mg(OH)2
Write down the names of compounds represented by the following formulae: (i) Al2(SO4)3 (ii) CaCl2 (iii) K2SO4 (iv) KNO3 (v) CaCO3. , (i) Al2(SO4)3 – Aluminium sulphate (ii) CaCl2 – Calcium chloride (iii) K2SO4 – Potassium sulphate (iv) KNO3 – Potassium nitrate (v) CaCO3 – Calcium carbonate
What is meant by the term chemical formula? ," A chemical formula describes the types and numbers of atoms in a compound or element. It uses chemical symbols to depict the elements and their quantities, e.g., HCl for hydrochloric acid."
How many atoms are present in a (i) H2S molecule and (ii) PO4 3- ion? ," (i) H2S molecule has 2 hydrogen atoms and 1 sulfur atom, totaling 3 atoms. (ii) PO4 3- ion has 1 phosphorus atom and 4 oxygen atoms, totaling 5 atoms."
"Calculate the molecular masses of H2, O2, Cl2, CO2, CH4, C2H6, C2H4, NH3, CH3OH. "," The molecular masses are: H2 = 2u, O2 = 32u, Cl2 = 71u, CO2 = 44u, CH4 = 16u, C2H6 = 30u, C2H4 = 28u, NH3 = 17u, CH3OH = 32u."
"Calculate the formula unit masses of ZnO, Na2O, K2CO3, given atomic masses of Zn = 65u, Na = 23u, K = 39u, C = 12u, and O = 16u. "," The formula unit masses are: ZnO = 81u, Na2O = 62u, K2CO3 = 138u."
"If one mole of carbon atoms weighs 12 grams, what is the mass (in grams) of 1 atom of carbon? ", Mass of 1 carbon atom = 12 / (6.022 x 10^23) = 1.99 x 10^-23g.
"Which has more number of atoms, 100 grams of sodium or 100 grams of iron (given the atomic mass of Na = 23u, Fe = 56u)? "," 100g of Na contains 26.18 x 10^23 atoms, while 100g of Fe contains 10.75 x 10^23 atoms. Therefore, 100g of Na has more atoms than 100g of Fe."
Define the atomic mass unit. , An atomic mass unit is a unit of mass used to express the weights of atoms and molecules where one atomic mass is equal to 1/12th the mass of one carbon-12 atom.
Why is it not possible to see an atom with the naked eyes? ," Atoms are minuscule in nature, measured in nanometers. Except for noble gas atoms, they do not exist independently. Hence, an atom cannot be visible to the naked eye."
Write down the formulae of (i) sodium oxide (ii) aluminium chloride (iii) sodium sulphide (iv) magnesium hydroxide. , (i) sodium oxide – Na2O (ii) aluminium chloride – AlCl3 (iii) sodium sulphide – Na2S (iv) magnesium hydroxide – Mg(OH)2
Write down the names of compounds represented by the following formulae: (i) Al2(SO4)3 (ii) CaCl2 (iii) K2SO4 (iv) KNO3 (v) CaCO3. , (i) Al2(SO4)3 – Aluminium sulphate (ii) CaCl2 – Calcium chloride (iii) K2SO4 – Potassium sulphate (iv) KNO3 – Potassium nitrate (v) CaCO3 – Calcium carbonate
What is meant by the term chemical formula? ," A chemical formula describes the types and numbers of atoms in a compound or element. It uses chemical symbols to depict the elements and their quantities, e.g., HCl for hydrochloric acid."
How many atoms are present in a (i) H2S molecule and (ii) PO4 3- ion? ," (i) H2S molecule has 2 hydrogen atoms and 1 sulfur atom, totaling 3 atoms. (ii) PO4 3- ion has 1 phosphorus atom and 4 oxygen atoms, totaling 5 atoms."
 A 0.24g sample of a compound of oxygen and boron was found by analysis to contain 0.096g of boron and 0.144g of oxygen. Calculate the percentage composition of the compound by weight. , Percentage of boron = (0.096g / 0.24g) x 100 = 40% Percentage of oxygen = 100% - 40% = 60%                                                                                                                                          
" When 3.0g of carbon is burnt in 8.00 g of oxygen, 11.00 g of carbon dioxide is produced. What mass of carbon dioxide will be formed when 3.00g of carbon is burnt in 50.00g of oxygen? Which law governs your answer? ", Governed by Law of Constant Proportions. Reaction: C + O2 → CO2 3g of carbon + 8g oxygen = 11g CO2. Remaining 42g oxygen is unreacted. Only 11g of CO2 is formed.                                                                 
 What are polyatomic ions? Give examples.                                                    ," Polyatomic ions contain more than one atom and behave as a single unit. Examples: CO3²⁻, H2PO4⁻                                                                                                                                   "
" Write the chemical formula of the following: Magnesium chloride, Calcium oxide, Copper nitrate, Aluminium chloride, Calcium carbonate. "," (a) MgCl2, (b) CaO, (c) Cu(NO3)2, (d) AlCl3, (e) CaCO3                                                                                                                                         "
" Give the names of the elements present in the following compounds: Quick lime, Hydrogen bromide, Baking powder, Potassium sulphate. "," (a) Ca and O, (b) H and Br, (c) Na, C, H, O, (d) S, O, K                                                                                                                                     "
" Calculate the molar mass of the following substances: Ethyne, Sulphur molecule, Phosphorus molecule, Hydrochloric acid, Nitric acid. "," (a) C2H2 = 26g, (b) S8 = 256g, (c) P4 = 124g, (d) HCl = 36.5g, (e) HNO3 = 63g                                                                                                               "
" What is the mass of 1 mole of nitrogen atoms, 4 moles of aluminium atoms, 10 moles of sodium sulphite? "," (a) 14g, (b) 108g, (c) 1260g                                                                                                                                                                 "
" Convert into a mole: 12g of oxygen gas, 20g of water, 22g of carbon dioxide.                 "," (a) 0.375 moles O2, (b) 1.11 moles H2O, (c) 0.5 moles CO2                                                                                                                                     "
" What is the mass of 0.2 mole of oxygen atoms, 0.5 mole of water molecules?                  "," (a) 3.2g O2, (b) 9g H2O                                                                                                                                                                      "
 Calculate the number of molecules of sulphur (S8) present in 16g of solid sulphur.          ," Molecular mass of S8 = 256g, moles = 0.0625. Number of molecules = 3.763 x 10²²                                                                                                             "
 Calculate the number of aluminium ions present in 0.051g of aluminium oxide.                , Moles of Al2O3 = 0.051g/102g. Aluminium ions = 6.022 x 10²⁰ ions                                                                                                                             
"1. Who discovered cells, and how?","In 1665, Robert Hooke discovered cells while examining a thin slice of cork through a self-designed microscope. He observed that the cork resembled the structure of a honeycomb consisting of numerous tiny compartments. The minuscule boxes are referred to as cells."
2. Why is the cell called the structural and functional unit of life?,"Cells form the structure of an entity. A group of cells form a tissue, further an organ and ultimately an organ system. They perform fundamental functions and life processes such as respiration, digestion, excretion etc., in both unicellular and multicellular entities. They perform all the activities independently. Hence, cells are referred to as structural and fundamental units of life."
3. How do substances like CO2 and water move in and out of the cell? Discuss.,"CO2 moves by diffusion. The cellular waste accumulates in high concentrations in the cell, whereas the concentration of CO2 in the external surroundings is comparatively lower. This difference in the concentration level inside and outside of the cell causes the CO2 to diffuse from a region of higher (within the cell) to a lower concentration. H2O diffuses by osmosis through the cell membrane. It moves from a region of higher concentration to a lower concentrated region through a selectively permeable membrane until equilibrium is reached."
4. Why is the plasma membrane called a selectively permeable membrane?,The plasma membrane is called as a selectively permeable membrane as it permits the movement of only certain molecules in and out of the cells. Not all molecules are free to diffuse.
6. Can you name the two organelles we have studied that contain their own genetic material?,The two organelles which have their own genetic material are 1. Mitochondria 2. Plastids
"7. If the organisation of a cell is destroyed due to some physical or chemical influence, what will happen?","In the event of any damage to cells and when the revival of cells is not possible, Lysosomes burst, and enzymes digest such cells. This is why lysosomes are often referred to as ‘suicide bags’."
8. Why are lysosomes known as suicide bags?,"When there is damage to the cell and when revival is not possible, lysosomes may burst, and the enzymes digest their own cell. Consequently, lysosomes are known as suicide bags."
9. Where are proteins synthesised inside the cell?,"Protein synthesis in cells takes place in ribosomes. Hence, ribosomes are also referred to as protein factories. Ribosomes are particles that are found attached to the rough endoplasmic reticulum."
1. Make a comparison and write down ways in which plant cells are different from animal cells.,"The following table depicts the differences between plant cells and animal cells. Characteristic Plant Cell Animal Cell Cell Wall Present Absent Shape of Cell With distinct edges, the shape is either rectangular or square-shaped. Round and irregular shape Nucleus Present. It lies on one side of the cell Present. It lies in the centre of the cell Lysosomes Rarely present Always present Plastids Present Absent Structure of Vacuoles Single or a few large vacuoles that are centrally located Presence of numerous and small vacuoles"
2. How is a prokaryotic cell different from a eukaryotic cell?,The following are the differences between prokaryotic and eukaryotic cells. Prokaryotic Cell Eukaryotic Cell 1. Size: Generally small (1-10 μm) 1 μm = 10-6m 1. Size: Generally large (5-100 μm) 2. Nuclear region: well-defined and girdled by a nuclear membrane. 3. There is more than one chromosome. 2. The nuclear region is not well defined as the nuclear membrane is absent and is referred to as the nucleoid. 3. There is a single chromosome. 4. Membrane-bound cell organelles absent. 4. Membrane-bound cell organelles present.
3. What would happen if the plasma membrane ruptures or breaks down?,"If the plasma membrane ruptures or breaks down, then molecules of some substances will freely move in and out of the cells. As the plasma membrane acts as a mechanical barrier, the exchange of material from its surroundings through osmosis or diffusion in a cell won’t take place. Consequently, the cell would die due to the disappearance of the protoplasmic material."
4. What would happen to the life of a cell if there was no Golgi apparatus?,"The Golgi apparatus consists of stacks of membrane-bound vesicles whose functions are as follows:  Storage of substances  Packaging of substances  Manufacture of substances Without the Golgi apparatus, the cells will be disabled from packing and dispatching materials that were produced by the cells. The Golgi apparatus is also involved in the formation of cells. Hence, in the absence of the Golgi apparatus, cells will not be produced."
5. Which organelle is known as the powerhouse of the cell? Why?,"Mitochondria are known as the powerhouse of the cell. It is because it releases the energy required for different activities of life. Mitochondria releases energy in the form of ATP (Adenosine triphosphate) molecules, essential for numerous chemical activities of life. Hence, ATP is often referred to as the ‘energy currency of the cell’."
6. Where do the lipids and proteins constituting the cell membrane get synthesised?,Lipids and proteins are synthesised in the ER (Endoplasmic Reticulum).
7. How does an Amoeba obtain its food?,"Through the process of endocytosis, an Amoeba obtains its food. As its cell membrane is flexible enough, food particles are engulfed, forming a food vacuole girdling it, which is assisted by the pseudopodia. Amoeba secretes digestive enzymes to bring about digestion of the engulfed particle once the food is trapped."
8. What is osmosis?,The process of movement of a water molecule from a region of higher concentration to a region of lower concentration through a semipermeable membrane is known as osmosis.
"9. Carry out the following osmosis experiment: Take four peeled potato halves and scoop each one out to make potato cups. One of these potato cups should be made from a boiled potato. Put each potato cup in a trough containing water. Now, (a) Keep cup A empty (b) Put one teaspoon sugar in cup B (c) Put one teaspoon salt in cup C (d) Put one teaspoon sugar in the boiled potato cup D. Keep these for two hours. Then observe the four potato cups and answer the following: (i) Explain why water gathers in the hollowed portion of B and C. (ii) Why is potato A necessary for this experiment? (iii) Explain why water does not gather in the hollowed-out portions of A and D.","(i) Water accumulates in the hollowed portions of B and C as a difference in the water concentration is observed. Thereby, endosmosis occurs as the cells act as a semipermeable membrane. (ii) Potato A is essential in this experiment as it is significant to compare different scenarios seen in potato cups B, C and D. Potato A in this experiment clearly shows that the potato cavity on its own cannot bring about water movement. (iii) Cup in A does not show any change in the water flow concentration for osmosis to occur, which requires concentration to be higher than the other. Cells in cup D are dead; thus, there is no existence of a semipermeable membrane for water flow. Consequently, osmosis does not occur."
"10. Which type of cell division is required for the growth and repair of the body, and which type is involved in the formation of gametes?","There are two ways in which a cell divides:  Mitosis  Meiosis Mitosis is the type of cell division that is involved in the growth and repair of the body, whereas meiosis is a type of cell division which results in the formation of gametes."
1. What is a tissue?,"A tissue is defined as a cluster of cells, which are similar in structure and work together to perform a particular function."
2. What is the utility of tissues in multicellular organisms?,The use of tissues in multicellular organisms is to provide structural and mechanical strength as well as to allow division of labour.
3. Name the types of simple tissues.,The types of simple tissues are as follows: ➢ Parenchyma ➢ Collenchyma ➢ Sclerenchyma
4. Where is apical meristem found?,"In plants, apical meristem is typically found at:  The tip of the shoot  Root of the plant"
5. Which tissue makes up the husk of a coconut?,"The sclerenchymatous tissue, which is a type of permanent tissue makes up the husk of the coconut. These tissues causes the plant to become stiff and hard. The cells of this tissue are dead and their cell walls are thickened because of the presence of lignin."
6. What are the constituents of phloem?,"The phloem constitutes of the following four elements, they are: ➢ Sieve tube ➢ Companion cells ➢ Phloem parenchyma ➢ Phloem fibres"
7. Name the tissue responsible for movement of our body.,"Two tissues jointly are responsible for the movement of our body, namely: ➢ Muscular tissue ➢ Nervous tissue"
8. What does a neuron look like?,"A neuron is a nerve cell consisting of the cell body with a nucleus and cytoplasm from which a long and thin hair-like structure emerges. Every neuron has one elongated part known as the axon, and several short and small branched structures known as dendrites. A single neuron can even be a meter long."
9. Give three features of cardiac muscles.,Cardiac muscles are specialized tissues that are evolved to pump blood throughout the body. The following are the features of cardiac muscles: ➢ They are cylindrical in shape. ➢ Striated muscle fibres. ➢ They are uninucleated and branched. ➢ These muscles are involuntary in nature.
10. What are the functions of areolar tissue?,"Areolar tissues are typically observed in animals. They are connective tissues and are found in between skin and muscles. They are also located around blood vessels and nerves, and are present in the bone marrow. The space inside the organs is filled with these tissues. They support the delicate internal organs and assist in tissue repair in case of damage."
"4. Differentiate between parenchyma, collenchyma, and sclerenchyma on the basis of their cell wall.",The following are the differences between different tissues based on cell wall: ➢ Parenchyma: Cell walls are thin and made up of cellulose. ➢ Collenchyma: Cell walls are thick at the edges due to the deposition of pectin. ➢ Sclerenchyma: Cell walls are thick due to the deposition of lignin.
5. What are the functions of the stomata?,"Stomata are the tiny pores present on the outer layer of the cells, the epidermis. Stomata bring about the exchange of gases and transpiration."
6. Show the difference between the three types of muscle fibres diagrammatically.,"There are three types of muscle fibres, they are: 1. Cardiac muscles: • Present in the heart. • Involuntary in nature. • They have 1 nucleus. • The muscle fibers are branched. 2. Smooth muscles: • Found in lungs and alimentary canal. • Involuntary in nature. • They have 1 nucleus. • They are spindle-shaped. 3. Striated muscles: • They are connected with bones. • Voluntary in nature. • They are long and cylindrical muscle fibers. • They possess many nuclei. • Striated muscles are unbranched."
7. What is the specific function of the cardiac muscle?,The cardiac muscles are branched and cylindrical. They are uninucleated and are involuntary in nature. The cardiac muscles bring about a rhythmic contraction and relaxation throughout one’s lifetime.
"8. Differentiate between striated, un-striated, and cardiac muscles on the basis of their structure and site/location in the body.","The following are the differences between different types of muscles, based on their structure and location in the body. ➢ Character: Striated muscles "
1. Define the term ’tissue’.,"A tissue is defined as a cluster of cells, which are similar in structure and work together to perform a particular function. Un-striated muscles 	 Cardiac muscles ➢ Shape/Structure: Long, cylindrical, non-tapering. They are un-branched. 	 Long and tapering. They are un-branched. 	 Cylindrical and non-tapering. They are branched. ➢ Location in body: Hands, legs and skeletal muscles 	 Wall of stomach, intestine, ureter and bronchi 	 Heart ➢ Dark and light: Present 	 Absent 	 Present but less"
2. How many types of elements together make up the xylem tissue? Name them.,"The xylem tissue is made up of four main elements, namely: ➢ Vessels ➢ Tracheids ➢ Xylem fibres ➢ Xylem parenchyma"
3. How are simple tissues different from complex tissues in plants?,The following are the differences: ➢ Simple tissues: They are made up of a single type of cell that performs only one common function. ➢ Complex tissues: They are made up of more than one kind of cell that coordinate to perform one particular function.
(a) Tissue that forms the inner lining of our mouth ," The epithelial tissue, Squamous epithelium."
(b) Tissue that connects muscle to bone in humans , Tendon.
(c) Tissue that transports food in plants , Phloem.
(d) Tissue that stores fat in our body , Adipose tissue.
(e) Connective tissue with a fluid matrix ," Blood, it is a fluid connective tissue."
(f) Tissue present in the brain , Nervous tissue.
Skin , Stratified squamous epithelial tissue.
Bark of tree , Protective tissue and cork.
Bone , Connective tissue.
Lining of kidney tubule , Cuboidal epithelial tissue.
Vascular bundle ," Conducting tissue (xylem and phloem), complex permanent tissue."
12. Name the regions in which parenchyma tissue is present ," The parenchyma is found in: The pith of stems and roots; when parenchyma contains chlorophyll, it is called chlorenchyma (found in green leaves); parenchyma in aquatic plants has large air cavities (called aerenchyma) that enable them to float."
13. What is the role of epidermis in plants? ," The epidermis in plants forms an uninterrupted and continuous layer that has no intercellular spaces, providing protection."
14. How does the cork act as a protective tissue? ," Cork cells are dead and densely arranged, with no intercellular spaces. The deposition of suberin on the cell walls makes them impervious to water and gases."
